velocity, maxwell_300, maxwell_600, maxwell_1500
velocity, Maxwell distribution for 300 m/s velocity, Maxwell distribution for 600 m/s velocity, Maxwell distribution for 1500 m/s velocity
m/s, units? , units?, units?
222, 0.00132366108516, 0.000548485307898, 0.000152621212846
224, 0.00133989763422, 0.000556810546061, 0.000155205080908
226, 0.00135604722509, 0.000565157467155, 0.000157805903705
228, 0.00137210581019, 0.000573524892876, 0.000160423525781
230, 0.00138806938503, 0.00058191164418, 0.000163057790775
232, 0.00140393398945, 0.000590316541484, 0.000165708541432
234, 0.00141969570864, 0.000598738404867, 0.000168375619613
236, 0.00143535067428, 0.000607176054275, 0.000171058866311
238, 0.00145089506557, 0.000615628309717, 0.000173758121658
240, 0.0014663251103, 0.000624093991466, 0.000176473224943
242, 0.00148163708584, 0.000632571920259, 0.000179204014615
244, 0.00149682732011, 0.000641060917499, 0.000181950328304
246, 0.0015118921926, 0.000649559805444, 0.000184712002826
248, 0.00152682813526, 0.000658067407415, 0.000187488874199
250, 0.00154163163344, 0.000666582547984, 0.000190280777655
252, 0.00155629922678, 0.000675104053175, 0.000193087547649
254, 0.00157082751005, 0.000683630750657, 0.000195909017874
256, 0.001585213134, 0.000692161469936, 0.000198745021273
258, 0.00159945280617, 0.000700695042554, 0.000201595390049
260, 0.0016135432917, 0.000709230302273, 0.000204459955679
262, 0.00162748141404, 0.000717766085273, 0.000207338548927
264, 0.00164126405571, 0.000726301230339, 0.000210230999856
266, 0.001654888159, 0.00073483457905, 0.000213137137838
268, 0.00166835072664, 0.000743364975968, 0.000216056791569
270, 0.00168164882248, 0.000751891268824, 0.000218989789081
272, 0.00169477957206, 0.000760412308703, 0.000221935957754
274, 0.00170774016325, 0.000768926950231, 0.000224895124329
276, 0.0017205278468, 0.000777434051753, 0.000227867114921
278, 0.00173313993688, 0.000785932475522, 0.000230851755028
280, 0.00174557381161, 0.000794421087873, 0.000233848869551
282, 0.00175782691353, 0.000802898759404, 0.000236858282798
284, 0.00176989675004, 0.000811364365156, 0.000239879818504
286, 0.00178178089387, 0.000819816784788, 0.000242913299839
288, 0.00179347698347, 0.00082825490275, 0.000245958549423
290, 0.00180498272336, 0.00083667760846, 0.000249015389338
292, 0.00181629588453, 0.00084508379647, 0.000252083641141
